code,current,name,gender,function,category,country_code,country,country_long,disciplines,events,birth_date
1936918,TRUE,PABLO Jose,Male,Assistant Coach,C,ANG,Angola,Angola,Handball,Women,03-10-1969
1938936,TRUE,FERREIRINHA Jose,Male,Coach,C,POR,Portugal,Portugal,Artistic Gymnastics,,01-09-1964
1940069,TRUE,CAPORN Adam,Male,Assistant Coach,C,AUS,Australia,Australia,Basketball,,16-03-1982
1940074,TRUE,GOORJIAN Brian,Male,Coach,C,AUS,Australia,Australia,Basketball,Men,28-06-1953
1940075,TRUE,CHAMBERS Cheryl,Female,Assistant Coach,C,AUS,Australia,Australia,Basketball,Women,18-04-1968
1940078,TRUE,PATRICK David,Male,Coach,C,AUS,Australia,Australia,Basketball,,21-02-1976
1940088,TRUE,NIELSEN Matt,Male,Assistant Coach,C,AUS,Australia,Australia,Basketball,Men,03-02-1978
1940089,TRUE,GORISS Paul,Male,Assistant Coach,C,AUS,Australia,Australia,Basketball,,28-04-1970
1940092,TRUE,CARROLL Ryan,Male,Coach,C,AUS,Australia,Australia,Basketball,,02-03-1980
1940093,TRUE,BRONDELLO Sandy,Female,Coach,C,AUS,Australia,Australia,Basketball,Women,20-08-1968
1940094,TRUE,SEEBHOM Shannon,Male,Coach,C,AUS,Australia,Australia,Basketball,,01-02-1988
1940331,TRUE,PYSMENNA Oksana,Female,Coach,C,KOR,Korea,Republic of Korea,Artistic Swimming,Duet,15-05-1972
1940570,TRUE,CHOI Jungyeol,Male,Coach,C,KOR,Korea,Republic of Korea,Artistic Gymnastics,,06-08-1982
1940575,TRUE,KIM Daeeun,Male,Coach,C,KOR,Korea,Republic of Korea,Artistic Gymnastics,,17-09-1984
1940578,TRUE,KIM Jihoon,Male,Coach,C,KOR,Korea,Republic of Korea,Artistic Gymnastics,,09-08-1984
1940583,TRUE,LEE Sunsung,Male,Coach,C,KOR,Korea,Republic of Korea,Artistic Gymnastics,,26-12-1980
1940584,TRUE,MIN Ayoung,Female,Coach,C,KOR,Korea,Republic of Korea,Artistic Gymnastics,,28-01-1975
1940930,TRUE,CSEH Sandor Viktor,Male,Assistant Coach,C,HUN,Hungary,Hungary,Water Polo,Women,05-09-1976
1941188,TRUE,MUNALA Japheth,Male,Head Coach,C,KEN,Kenya,Kenya,Volleyball,Women,30-11-1963
1941189,TRUE,BARASA James,Male,Assistant Coach,C,KEN,Kenya,Kenya,Volleyball,Women,08-10-1970
1941198,TRUE,MIHOK Attila,Male,Head Coach,C,HUN,Hungary,Hungary,Water Polo,Women,06-10-1973
1941323,TRUE,TORTOSA Hugo,Male,Coach,C,LES,Lesotho,Lesotho,Taekwondo,,11-10-1999
1941674,TRUE,TOPARI Yusuf,Male,Coach,C,AUS,Australia,Australia,Artistic Gymnastics,,27-02-1987
1941682,TRUE,MITCHELL Katie,Female,Coach,C,AUS,Australia,Australia,Rhythmic Gymnastics,,18-04-1979
1941683,TRUE,BARABACH Mikhail,Male,Coach,C,AUS,Australia,Australia,Artistic Gymnastics,,06-01-1955
1941685,TRUE,WILSON Sean,Male,Coach,C,AUS,Australia,Australia,Artistic Gymnastics,,21-06-1989
1941686,TRUE,BELAN Tatsiana,Female,Coach,C,AUS,Australia,Australia,Rhythmic Gymnastics,,10-11-1982
1941689,TRUE,LI Xiaoqing,Female,Coach,C,AUS,Australia,Australia,Artistic Gymnastics,,14-01-1971
1941847,TRUE,DOUMBIA Bounafou,Male,Goalkeeper Coach,C,MLI,Mali,Mali,Football,,22-07-1980
1941852,TRUE,BARRETO Diego,Male,Goalkeeper Coach,C,PAR,Paraguay,Paraguay,Football,,
